epoch,accuracy,learning_rate,loss,top_2_accuracy,val_accuracy,val_loss,val_top_2_accuracy
0,0.3770314157009125,0.0010000000474974513,2.6900863647460938,0.6940682530403137,0.5596967935562134,2.0840344429016113,0.8111181259155273
1,0.42565006017684937,0.0010000000474974513,2.353945255279541,0.7456663250923157,0.6310802102088928,1.8707762956619263,0.9001895189285278
2,0.44488081336021423,0.0010000000474974513,2.1303210258483887,0.7658450603485107,0.5988629460334778,1.8212558031082153,0.8825016021728516
3,0.46519502997398376,0.0010000000474974513,2.0057249069213867,0.7719393372535706,0.606443464756012,1.6984761953353882,0.9096651673316956
4,0.4693932831287384,0.0010000000474974513,1.8711742162704468,0.7930660843849182,0.7220467329025269,1.4235756397247314,0.9734681248664856
5,0.47630012035369873,0.0010000000474974513,1.7772959470748901,0.7918472290039062,0.7245736122131348,1.3563791513442993,0.9564118981361389
6,0.47778981924057007,0.0010000000474974513,1.6695894002914429,0.7978060841560364,0.7334175705909729,1.32342529296875,0.9620972871780396
7,0.48252978920936584,0.0010000000474974513,1.605129361152649,0.7887324094772339,0.6948831081390381,1.2790576219558716,0.9469361901283264
8,0.5005416870117188,0.0010000000474974513,1.5081336498260498,0.8052545785903931,0.6967782974243164,1.1939936876296997,0.9437776207923889
9,0.5052816867828369,0.0010000000474974513,1.439531683921814,0.8110780119895935,0.692356288433075,1.1937698125839233,0.9463045001029968
10,0.5020314455032349,0.0010000000474974513,1.3623898029327393,0.8205579519271851,0.6936197280883789,1.1289618015289307,0.9450410604476929
0,0.5308775901794434,9.999999747378752e-05,1.5359480381011963,0.8393824696540833,0.7289955615997314,1.2808252573013306,0.9570435881614685
1,0.523835301399231,9.999999747378752e-05,1.4904783964157104,0.8297670483589172,0.7403663992881775,1.2242456674575806,0.9627289772033691
2,0.5297941565513611,9.999999747378752e-05,1.4703490734100342,0.8364030122756958,0.7340492606163025,1.2095749378204346,0.94883131980896
3,0.5438786745071411,9.999999747378752e-05,1.4219154119491577,0.8308504819869995,0.7233101725578308,1.173405647277832,0.9500947594642639
4,0.5446912050247192,9.999999747378752e-05,1.4063481092453003,0.8364030122756958,0.7454200983047485,1.152109980583191,0.9545167684555054
5,0.5537648797035217,9.999999747378752e-05,1.3775296211242676,0.8438515663146973,0.7700568437576294,1.1004093885421753,0.9658875465393066
6,0.543607771396637,9.999999747378752e-05,1.3436493873596191,0.8565818071365356,0.7624763250350952,1.087587833404541,0.9696778059005737
7,0.5331798195838928,9.999999747378752e-05,1.3645493984222412,0.8407367467880249,0.7561591863632202,1.0943212509155273,0.955148458480835
8,0.5465872287750244,9.999999747378752e-05,1.303480863571167,0.8408721685409546,0.7492103576660156,1.0755501985549927,0.9576752781867981
9,0.5525460243225098,9.999999747378752e-05,1.3095977306365967,0.8479143977165222,0.7700568437576294,1.027788758277893,0.9734681248664856
10,0.5575568675994873,9.999999747378752e-05,1.292521357536316,0.8472372889518738,0.7283638715744019,1.047815203666687,0.952621579170227
11,0.5541712045669556,9.999999747378752e-05,1.2607502937316895,0.8378927707672119,0.7789008021354675,0.9859863519668579,0.9690461158752441
12,0.5567443370819092,9.999999747378752e-05,1.2738778591156006,0.8441224098205566,0.7681617140769958,0.9879478216171265,0.9545167684555054
13,0.5617551207542419,9.999999747378752e-05,1.2361817359924316,0.8549566864967346,0.742261528968811,0.9998049139976501,0.9532533288002014
14,0.5528169274330139,4.999999873689376e-05,1.2210770845413208,0.8418201804161072,0.7687934041023254,0.9700950980186462,0.9595704078674316
